,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,position
32,Joseph,Willock,0,0,3,81,2,5.8,8.2,4.0,0,8,1.8,0,0,0,0.0,45,Midfielder
33,Jordi,Osei-Tutu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,Defender
34,Asmir,Begovic,0,0,112,3420,61,20.0,790.8,0.0,6,631,80.8,6,0,2,4.1,45,Goalkeeper
35,Artur,Boruc,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.3,41,Goalkeeper
36,Adam,Federici,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.2,40,Goalkeeper
37,Simon,Francis,0,1,56,2708,47,418.4,726.8,163.0,3,491,131.0,4,1,8,1.3,43,Defender
38,Steve,Cook,2,1,83,2764,53,65.6,870.0,271.0,9,495,120.6,5,0,5,1.1,46,Defender
39,Charlie,Daniels,1,3,94,3001,50,479.7,582.2,196.0,4,587,125.9,6,0,0,6.6,47,Defender
40,Adam,Smith,1,3,56,2067,38,345.5,455.0,144.0,3,376,94.5,2,0,6,0.4,48,Defender
41,Tyrone,Mings,0,0,3,201,5,14.8,46.6,10.0,0,40,7.2,0,0,1,0.2,42,Defender
42,Bradley,Smith,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.2,39,Defender
43,Nathan,AkÃ©,2,3,102,3352,59,115.1,932.4,287.0,8,642,133.5,6,0,5,6.1,50,Defender
44,Harry,Arter,1,0,27,959,13,76.1,146.0,69.0,0,156,29.2,3,0,4,0.3,47,Midfielder
45,Marc,Pugh,0,0,32,974,17,195.5,99.2,224.0,0,97,51.6,5,0,2,0.1,47,Midfielder
46,Andrew,Surman,2,5,82,1851,29,261.1,458.0,121.0,9,363,84.0,5,0,2,3.1,43,Midfielder
47,Junior,Stanislas,5,3,75,1285,22,377.2,394.8,483.0,7,285,125.1,2,0,1,0.3,57,Midfielder
48,Dan,Gosling,2,1,59,1941,41,262.2,396.4,274.0,4,254,93.3,1,0,8,0.1,48,Midfielder
49,Max,Gradel,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,Midfielder
50,Jordon,Ibe,2,6,85,1988,33,602.7,362.0,610.0,5,289,157.3,4,0,1,1.0,46,Midfielder
51,Lewis,Cook,0,2,58,2234,42,423.3,456.4,126.0,0,337,100.7,3,0,5,1.2,43,Midfielder
52,Ryan,Fraser,5,3,97,2003,38,646.6,492.8,413.0,13,390,155.0,2,0,0,0.7,51,Midfielder
53,Callum,Wilson,8,2,102,1981,33,288.4,392.2,799.0,13,282,147.5,6,0,0,4.5,56,Forward
54,Benik,Afobe,0,1,24,534,12,62.6,33.8,219.0,0,73,31.3,0,0,0,0.2,57,Forward
55,Lys,Mousset,2,0,36,581,16,69.5,120.4,252.0,3,106,43.9,1,0,1,0.2,49,Forward
56,Joshua,King,8,4,110,2450,38,556.7,577.0,902.0,10,381,203.7,7,0,3,1.9,70,Forward
57,Jermain,Defoe,4,2,60,1075,21,144.9,209.4,539.0,5,191,88.9,2,0,1,1.4,76,Forward
58,Aaron,Ramsdale,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,Goalkeeper
59,Jack,Simpson,0,0,1,71,2,0.0,6.2,0.0,0,10,0.6,0,0,0,0.2,40,Defender
60,Emerson,Hyndman,0,0,1,58,1,12.5,5.0,0.0,0,6,1.8,0,0,0,0.0,45,Midfielder
61,Connor,Mahoney,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,Midfielder
62,Matt,Butcher,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,Midfielder
63,Kyle,Taylor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,Midfielder
64,Niki,MÃ¤enpÃ¤Ã¤,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.9,39,Goalkeeper
65,Mathew,Ryan,0,0,146,3420,54,0.0,911.6,0.0,13,726,91.1,10,0,0,3.4,46,Goalkeeper
66,Lewis,Dunk,1,1,97,3420,54,147.8,1002.8,425.0,7,637,157.9,10,0,7,2.9,45,Defender
67,Shane,Duffy,0,2,100,3292,52,98.9,1027.6,361.0,7,614,148.9,10,0,8,2.9,46,Defender
68,Uwe,HÃ¼nemeier,0,0,1,17,1,0.3,7.0,2.0,0,5,0.9,0,0,0,5.6,38,Defender
69,Bruno,Saltor Grau,0,0,84,2014,23,174.1,360.4,35.0,8,423,57.2,10,0,3,0.8,45,Defender
70,GaÃ«tan,Bong,0,0,63,2237,36,154.6,346.2,18.0,5,369,52.1,6,0,2,0.2,44,Defender
71,Liam,Rosenior,0,0,3,163,3,4.7,28.8,2.0,0,22,3.6,0,0,0,3.0,39,Defender
72,Connor,Goldson,0,0,6,199,5,3.5,40.4,55.0,0,36,9.9,1,0,1,2.6,39,Defender
73,Anthony,Knockaert,3,1,88,2415,29,557.2,404.0,530.0,6,383,149.1,11,1,4,0.6,55,Midfielder
74,Dale,Stephens,0,3,87,3240,50,272.5,625.8,176.0,2,550,107.7,10,0,6,1.2,45,Midfielder
75,Beram,Kayal,0,0,25,735,14,137.0,111.2,48.0,0,115,29.6,1,0,2,0.1,44,Midfielder
76,Steve,Sidwell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,42,Midfielder
77,Solomon,March,1,3,74,1838,29,320.9,357.4,316.0,3,303,99.8,6,0,3,0.2,48,Midfielder
78,Jiri,Skalak,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,47,Midfielder
79,Oliver,Norwood,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,Midfielder
80,Jamie,Murphy,0,0,6,166,4,15.5,11.8,24.0,0,25,5.1,0,0,0,0.0,47,Midfielder
81,Pascal,GroÃ,7,8,164,2928,46,1311.0,735.4,527.0,24,635,257.6,10,0,2,15.4,59,Midfielder
82,Glenn,Murray,12,0,111,2184,36,271.8,492.4,779.0,16,319,153.1,8,0,9,5.7,59,Forward
83,Tomer,Hemed,2,2,43,842,8,66.1,152.0,227.0,5,110,44.2,3,0,0,1.0,46,Forward
84,Sam,Baldock,0,0,2,30,1,0.8,0.4,6.0,0,4,0.7,0,0,0,0.0,49,Forward
85,Leonardo,Ulloa,1,0,20,279,4,94.2,68.0,66.0,0,66,22.7,1,0,0,0.3,48,Forward
86,Markus,Suttner,0,0,38,1178,18,105.6,187.4,17.0,3,204,30.8,4,0,0,0.4,42,Defender
87,Isaiah,Brown,0,0,16,302,8,86.2,33.2,25.0,0,60,14.5,0,0,0,0.0,52,Midfielder
88,Davy,PrÃ¶pper,0,4,87,3118,50,297.1,535.8,255.0,1,446,108.9,9,1,2,0.1,53,Midfielder
89,JosÃ© Heriberto,Izquierdo Mena,5,5,101,1976,32,311.3,385.4,618.0,4,324,131.3,5,0,2,0.3,59,Midfielder
90,Ezequiel,Schelotto,0,0,20,1313,30,99.2,210.0,73.0,0,183,38.2,0,0,3,0.1,44,Defender
91,Tim,Krul,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,39,Goalkeeper
92,Jayson,Molumby,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,Midfielder
93,JÃ¼rgen,Locadia,1,1,16,221,8,24.6,50.4,89.0,2,47,15.8,1,0,0,0.0,60,Forward
94,Tom,Heaton,0,0,8,305,4,0.0,53.4,0.0,0,48,5.3,0,0,0,1.7,47,Goalkeeper
95,Paul,Robinson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,Goalkeeper
96,Matthew,Lowton,0,3,89,2295,26,264.9,574.6,46.0,4,450,89.0,8,0,1,4.9,44,Defender
97,Ben,Mee,0,0,90,2610,27,74.5,748.6,349.0,6,491,117.3,9,0,5,7.3,49,Defender
98,Stephen,Ward,1,1,102,2460,27,270.9,498.4,82.0,9,484,85.4,9,0,1,8.5,48,Defender
99,James,Tarkowski,0,1,101,2790,30,98.4,822.0,253.0,4,539,117.8,11,0,5,5.1,46,Defender
100,Kevin,Long,1,2,57,1440,21,64.8,460.0,220.0,6,282,74.5,4,0,1,7.5,41,Defender
101,Charlie,Taylor,0,0,23,949,12,86.8,184.2,4.0,0,132,27.5,2,0,3,0.4,42,Defender
102,Scott,Arfield,2,2,56,1330,15,120.2,233.2,246.0,6,185,60.1,6,0,3,0.2,49,Midfielder
103,Dean,Marney,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,Midfielder
104,Johann Berg,Gudmundsson,2,9,117,2831,33,1052.0,599.0,539.0,7,467,219.2,10,0,2,1.9,50,Midfielder
105,Steven,Defour,1,1,62,1998,17,310.8,353.8,117.0,0,353,78.4,12,0,6,0.3,54,Midfielder
106,Jeff,Hendrick,2,2,85,2326,28,408.2,265.6,335.0,1,307,100.9,9,0,1,0.2,54,Midfielder
107,Robbie,Brady,1,4,56,1277,12,477.9,273.8,221.0,7,216,97.3,6,0,3,0.4,53,Midfielder
108,Ashley,Westwood,0,1,35,1105,17,134.8,182.4,90.0,1,189,40.7,2,0,2,0.1,43,Midfielder
109,Jonathan,Walters,0,0,3,36,2,0.7,1.2,12.0,0,3,1.1,0,0,0,0.1,51,Midfielder
110,Jack,Cork,2,1,100,3420,39,332.8,589.6,265.0,6,533,119.0,12,0,7,3.6,45,Midfielder
111,Sam,Vokes,4,2,63,977,16,128.0,208.4,384.0,7,170,71.1,2,0,3,2.1,57,Forward
112,Ashley,Barnes,9,0,92,2150,23,274.8,407.2,797.0,9,290,145.8,5,0,10,3.2,53,Forward
113,Aaron,Lennon,0,4,65,1906,30,203.2,232.2,297.0,0,204,73.3,6,0,2,0.2,54,Midfielder
114,Nahki,Wells,0,0,9,46,3,3.5,7.2,37.0,0,20,4.7,0,0,0,0.1,49,Forward
115,Phil,Bardsley,0,0,33,1125,13,117.5,229.4,35.0,0,193,38.3,4,0,5,0.3,40,Defender
116,Georges-KÃ©vin,Nkoudou,0,0,11,223,2,49.3,26.0,41.0,0,21,11.2,1,0,1,0.0,53,Midfielder
117,Nick,Pope,0,0,152,3114,35,40.0,862.4,0.0,19,701,90.1,11,0,3,10.1,50,Goalkeeper
118,Chris,Wood,10,1,104,1621,11,203.5,442.0,692.0,20,314,133.8,10,0,1,1.7,62,Forward
119,Adam,Legzdins,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,Goalkeeper
120,Anders,Lindegaard,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,Goalkeeper
121,Fredrik,Ulvestad,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44,Midfielder
122,Aiden,O'Neill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,Midfielder
123,Dwight,McNeil,0,0,1,1,0,0.0,0.0,0.0,0,3,0.0,0,0,0,0.0,45,Forward
124,Olivier,Giroud,7,1,77,981,11,311.1,307.0,673.0,10,273,129.0,5,0,0,3.7,84,Forward
125,Thibaut,Courtois,0,0,136,3150,34,0.0,549.0,0.0,4,635,55.2,15,0,2,10.3,53,Goalkeeper
126,Eduardo,dos Reis Carvalho,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,47,Goalkeeper
127,Willy,Caballero,0,0,11,270,4,0.0,55.2,0.0,0,54,5.5,1,0,0,0.1,48,Goalkeeper
128,CÃ©sar,Azpilicueta,2,6,175,3330,38,535.7,967.4,168.0,25,913,167.5,15,0,1,21.0,69,Defender
129,Gary,Cahill,0,0,74,2082,27,55.6,496.6,99.0,2,447,65.4,9,1,1,3.0,62,Defender
130,Marcos,Alonso,7,2,165,2855,30,549.6,697.8,822.0,15,650,207.1,13,0,6,16.2,71,Defender
131,David,Luiz Moreira Marinho,1,2,32,838,13,22.3,210.2,65.0,0,186,29.6,3,1,3,8.1,57,Defender
132,Victor,Moses,3,6,131,2109,20,358.1,417.0,482.0,9,486,125.9,11,0,3,2.9,65,Defender
133,Antonio,RÃ¼diger,2,1,115,2336,22,83.0,546.6,217.0,8,557,84.8,12,0,4,3.3,58,Defender
134,Eden,Hazard,12,6,173,2417,27,1127.3,928.0,1115.0,24,699,317.3,12,0,2,6.4,105,Midfielder
135,Cesc,FÃ bregas,2,4,89,2300,26,1349.3,713.8,485.0,7,539,254.9,11,1,4,3.1,68,Midfielder
136,Willian,Borges Da Silva,6,8,130,1874,19,891.5,640.0,715.0,13,522,224.5,9,0,1,12.6,70,Midfielder
137,Pedro,RodrÃ­guez Ledesma,4,2,81,1511,14,410.0,338.4,498.0,2,272,124.6,8,0,1,1.0,77,Midfielder
138,N'Golo,KantÃ©,1,2,101,2994,32,638.2,676.0,199.0,9,655,151.7,16,0,3,11.7,49,Midfielder
139,Michy,Batshuayi,2,1,25,351,7,39.0,99.4,123.0,3,77,25.7,1,0,0,0.5,81,Forward
140,Diego,Da Silva Costa,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,95,Forward
141,Ross,Barkley,0,0,3,129,4,34.7,21.0,45.0,0,11,10.1,0,0,0,0.2,73,Midfielder
142,Kasey,Palmer,0,0,4,168,2,25.6,20.0,27.0,0,9,7.2,1,0,2,0.0,53,Midfielder
143,Daniel,Drinkwater,1,0,24,520,7,88.1,116.4,54.0,1,117,25.7,1,0,0,0.2,47,Midfielder
144,TiemouÃ©,Bakayoko,2,2,77,2121,24,279.5,415.4,434.0,5,346,113.2,11,1,3,1.2,49,Midfielder
145,Andreas,Christensen,0,0,79,2067,23,66.5,466.6,109.0,4,475,64.3,8,0,0,1.9,53,Defender
146,Charly,Musonda,0,1,6,35,0,18.5,20.6,14.0,0,15,5.0,0,0,0,0.0,48,Midfielder
147,Ãlvaro,Morata,11,6,122,2055,19,478.9,620.6,1192.0,13,356,228.8,11,0,7,7.6,104,Forward
148,Fikayo,Tomori,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,Defender
149,Kyle,Scott,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,Midfielder
150,Jeremie,Boga,0,0,1,17,0,1.0,0.0,0.0,0,1,0.0,0,0,0,0.0,60,Midfielder
151,Davide,Zappacosta,1,1,58,1087,15,245.3,255.2,329.0,1,226,82.6,5,0,0,0.2,59,Defender
152,Ethan,Ampadu,0,0,1,10,1,0.0,7.4,0.0,0,6,0.7,0,0,0,0.0,45,Midfielder
153,Callum,Hudson-Odoi,0,0,2,27,1,1.7,8.8,27.0,0,11,3.8,0,0,0,0.0,45,Midfielder
154,Dujon,Sterling,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,Defender
155,Emerson,Palmieri dos Santos,0,1,14,278,4,28.7,61.8,48.0,0,68,13.8,1,0,0,0.1,52,Defender
156,Trevoh,Chalobah,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,Defender
157,Ruben,Loftus-Cheek,2,5,77,1871,30,377.0,379.2,487.0,2,337,124.5,6,0,1,3.5,44,Midfielder
158,Wayne,Hennessey,0,0,99,2430,41,10.0,603.8,0.0,11,506,61.4,7,0,1,3.1,44,Goalkeeper
159,Julian,Speroni,0,0,36,990,14,0.0,213.6,0.0,3,175,21.3,2,0,0,2.9,40,Goalkeeper
160,James,Tomkins,3,0,99,2386,32,22.4,712.6,309.0,9,512,104.7,9,0,8,4.4,44,Defender
161,Scott,Dann,1,0,32,1434,26,62.3,342.2,268.0,0,211,67.0,1,0,4,0.3,46,Defender
162,Joel,Ward,0,1,41,1613,25,163.5,340.6,58.0,0,276,56.3,4,0,4,0.2,47,Defender
163,Martin,Kelly,0,0,34,1193,21,25.7,222.6,84.0,1,185,33.3,4,0,1,0.6,41,Defender
164,Damien,Delaney,0,0,1,95,5,0.3,40.0,0.0,0,19,4.0,0,0,0,0.2,42,Defender
165,Pape,SouarÃ©,0,0,1,8,0,1.1,0.2,0.0,0,3,0.1,0,0,0,0.0,45,Defender
166,Jeffrey,Schlupp,0,2,50,1742,30,189.7,339.6,155.0,0,281,68.6,3,0,3,0.2,47,Defender
167,Patrick,van Aanholt,5,1,95,2182,38,303.8,537.0,319.0,7,448,116.3,6,0,7,3.1,52,Defender
168,Jason,Puncheon,0,0,11,574,14,93.9,46.4,112.0,0,38,25.1,0,0,5,0.3,44,Midfielder
169,Wilfried,Zaha,9,7,136,2549,31,716.9,668.0,1125.0,8,404,251.0,10,0,5,10.6,71,Midfielder
170,James,McArthur,5,2,101,2425,35,333.0,490.6,566.0,9,416,138.9,7,0,5,4.7,44,Midfielder
171,Chung-yong,Lee,0,0,8,131,3,32.0,4.4,10.0,0,23,4.6,0,0,0,0.3,42,Midfielder
172,Yohan,Cabaye,0,4,73,2374,36,754.0,431.2,348.0,3,415,153.5,8,0,7,0.2,53,Midfielder
173,Bakary,Sako,3,0,36,466,10,103.1,143.2,227.0,1,115,46.9,1,0,0,0.1,48,Midfielder
174,Andros,Townsend,2,9,121,3120,48,1012.1,626.0,587.0,7,552,222.8,9,0,3,1.4,56,Midfielder
175,Luka,Milivojevic,10,2,144,3079,52,379.0,873.8,432.0,21,630,168.6,8,0,8,13.5,52,Midfielder
176,Connor,Wickham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,54,Forward
177,Christian,Benteke,3,7,84,2234,36,406.7,325.2,845.0,5,174,157.5,6,0,6,2.5,75,Forward
178,Mamadou,Sakho,1,2,81,1597,23,30.7,426.2,77.0,18,405,53.6,6,0,1,1.0,46,Defender
179,Timothy,Fosu-Mensah,0,0,39,1592,29,103.7,326.6,43.0,3,279,47.4,2,0,2,1.0,44,Defender
180,Jairo,Riedewald,0,0,23,435,6,21.5,74.4,12.0,0,100,10.6,2,0,0,0.1,46,Defender
181,Jason,Lokilo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43,Midfielder
182,Olayinka Fredrick Oladotun,Ladapo,0,0,1,16,1,1.1,0.4,0.0,0,3,0.2,0,0,0,1.0,45,Forward
183,Sullay,Kaikai,0,0,1,13,0,0.3,5.2,0.0,0,5,0.6,0,0,0,0.1,43,Midfielder
184,Keshi,Anderson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,45,Forward
185,Levi,Lumeka,0,0,1,25,0,0.5,4.2,18.0,0,3,2.3,0,0,0,0.0,44,Midfielder
186,Jordon,Mutch,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,Midfielder
187,Dion,Henry,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,Goalkeeper
188,Aaron,Wan-Bissaka,0,0,15,627,10,60.0,207.2,2.0,0,116,26.8,2,0,1,0.0,45,Midfielder
189,Jaroslaw,Jach,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,42,Defender
190,Erdal,Rakip,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48,Midfielder
191,Alexander,SÃ¸rloth,0,0,8,360,9,74.0,48.6,102.0,0,25,22.5,0,0,0,0.1,54,Forward
192,Nya,Kirby,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,Midfielder
193,Diego,Cavalieri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,Goalkeeper
194,James,Daly,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,Forward
195,Theo,Walcott,3,3,62,1214,17,234.9,316.6,406.0,3,226,95.9,4,0,2,2.1,66,Midfielder
196,Jordan,Pickford,0,0,145,3420,58,30.1,873.6,4.0,16,724,90.7,10,0,0,8.3,49,Goalkeeper
197,Joel,Robles,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,42,Goalkeeper
198,Maarten,Stekelenburg,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,42,Goalkeeper
199,Leighton,Baines,2,3,82,1909,34,373.5,407.4,102.0,10,381,88.2,5,0,1,4.0,57,Defender
200,Seamus,Coleman,0,1,39,1035,12,113.7,227.6,69.0,0,198,41.2,4,0,0,0.5,64,Defender
201,Phil,Jagielka,0,0,60,2063,39,24.1,529.2,108.0,5,415,66.2,6,0,2,2.7,47,Defender
202,Matthew,Pennington,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40,Defender
203,Ramiro,Funes Mori,0,0,3,119,2,0.9,29.2,6.0,0,14,3.6,0,0,1,0.0,49,Defender
204,Ashley,Williams,1,0,56,1830,31,39.0,518.0,132.0,3,332,68.9,5,1,3,2.1,52,Defender
205,Mason,Holgate,0,0,37,1183,14,93.9,285.8,105.0,0,214,48.5,4,0,3,1.0,40,Defender
206,Jonjoe,Kenny,0,2,50,1589,31,184.5,362.4,47.0,2,309,59.5,5,0,2,2.1,39,Defender
207,Michael,Keane,0,1,81,2559,46,58.4,703.4,124.0,11,513,88.7,7,0,3,5.1,53,Defender
208,Yannick,Bolasie,1,1,35,848,14,109.0,98.6,204.0,0,80,40.8,3,0,0,0.2,64,Midfielder
209,Kevin,Mirallas,0,0,5,135,8,20.2,16.4,42.0,0,19,7.9,0,0,1,0.8,60,Midfielder
210,James,McCarthy,0,0,6,204,6,19.3,33.8,4.0,0,41,5.8,0,0,0,0.0,49,Midfielder
211,Muhamed,Besic,0,0,2,46,0,11.5,18.2,0.0,0,10,3.0,0,0,0,0.1,42,Midfielder
212,Morgan,Schneiderlin,0,0,52,2124,38,159.2,361.2,52.0,1,344,57.2,6,1,4,0.5,47,Midfielder
213,Idrissa,Gueye,2,2,87,2749,45,303.6,577.0,166.0,7,552,104.6,9,1,6,0.9,48,Midfielder
214,Tom,Davies,2,2,66,1892,24,207.2,242.8,218.0,3,223,65.8,6,0,7,0.4,51,Midfielder
215,Ademola,Lookman,0,1,10,153,6,20.5,12.0,43.0,0,30,7.5,0,0,0,0.1,51,Midfielder
216,Davy,Klaassen,0,0,7,248,6,33.7,23.0,28.0,0,18,8.3,0,0,0,0.4,69,Midfielder
217,Dominic,Calvert-Lewin,4,8,88,1871,28,322.6,354.0,630.0,3,255,130.2,6,0,4,3.5,49,Forward
218,Sandro,RamÃ­rez,0,0,10,275,7,28.3,8.8,67.0,0,21,9.8,1,0,0,0.4,70,Forward
219,Wayne,Rooney,10,3,113,2265,33,573.7,585.0,467.0,20,480,162.4,7,0,5,9.3,71,Forward
220,Gylfi,Sigurdsson,4,4,96,2257,40,614.9,485.6,437.0,8,396,154.0,6,0,2,1.9,80,Midfielder
221,Cuco,Martina,0,2,55,1830,30,238.8,468.8,39.0,0,367,74.9,5,0,2,1.1,41,Defender
222,Eliaquim,Mangala,0,0,22,617,7,19.9,113.8,32.0,0,118,16.8,2,0,0,0.1,50,Defender
223,Nikola,Vlasic,0,0,18,572,12,159.1,91.8,85.0,0,80,33.6,1,0,0,0.0,53,Midfielder
224,Oumar,Niasse,8,3,83,1076,23,159.2,370.6,634.0,14,248,115.2,0,0,2,5.0,46,Forward
225,Beni,Baningime,0,0,7,192,2,3.8,9.4,0.0,0,20,1.3,0,0,1,0.0,45,Midfielder
226,Cenk,Tosun,5,0,55,984,13,226.4,232.4,304.0,9,192,75.6,4,0,0,2.1,67,Forward
227,Luke,Garbutt,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,Defender
