,first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost,element_type,position
52,Wesley,Moraes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,60,FWD,Forward
53,Mbwana,Samatta,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,60,FWD,Forward
54,Keinan,Davis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,15.9,45,FWD,Forward
55,Indiana,Vassilev,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.3,45,FWD,Forward
56,Douglas Luiz,Soares de Paulo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,50,MID,Midfielder
57,Matthew,Cash,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,50,DEF,Defender
58,Ollie,Watkins,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.1,60,FWD,Forward
59,Glenn,Murray,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,50,FWD,Forward
60,Adam,Lallana,0,0,1,44,1,27.2,6.8,2.0,0,6,3.6,0,0,0,1.3,65,MID,Midfielder
61,Dale,Stephens,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,13.7,45,MID,Midfielder
62,Pascal,GroÃ,0,0,1,11,0,0.3,2.6,0.0,0,4,0.3,0,0,0,0.2,60,MID,Midfielder
63,Shane,Duffy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,DEF,Defender
64,Davy,PrÃ¶pper,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,MID,Midfielder
65,Aaron,Mooy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,Midfielder
66,Dan,Burn,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,45,DEF,Defender
67,Lewis,Dunk,0,0,1,90,3,1.2,20.4,7.0,0,16,2.9,0,0,0,8.6,50,DEF,Defender
68,MartÃ­n,Montoya,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,Defender
69,Florin,Andone,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,50,FWD,Forward
70,Solomon,March,0,0,2,90,3,18.2,15.4,20.0,0,16,5.4,0,0,0,0.1,50,MID,Midfielder
71,Adam,Webster,0,0,1,90,3,11.8,14.8,1.0,0,14,2.8,0,0,0,2.9,45,DEF,Defender
72,JoÃ«l,Veltman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,45,DEF,Defender
73,Neal,Maupay,0,0,2,90,3,1.0,0.0,8.0,0,1,0.7,0,0,0,1.7,65,FWD,Forward
74,Leandro,Trossard,1,0,8,90,3,27.6,40.8,11.0,1,28,7.9,0,0,0,0.5,60,MID,Midfielder
75,Mathew,Ryan,0,0,1,90,3,0.0,11.6,0.0,0,12,1.2,0,0,0,18.7,45,GK,Goalkeeper
76,Alireza,Jahanbakhsh,0,0,1,11,0,0.7,4.4,0.0,0,3,0.5,0,0,0,0.1,55,MID,Midfielder
77,JosÃ©,Izquierdo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,55,MID,Midfielder
78,Matthew,Clarke,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,Defender
79,Ben,White,0,0,1,78,3,0.8,14.2,0.0,0,16,1.5,0,0,0,1.7,45,DEF,Defender
80,Bernardo,Fernandes da Silva Junior,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,13.6,40,DEF,Defender
81,Yves,Bissouma,0,0,2,90,3,3.8,8.4,5.0,0,13,1.7,0,0,0,4.6,45,MID,Midfielder
82,Tariq,Lamptey,0,1,3,90,3,27.3,33.8,20.0,0,22,8.1,0,0,1,2.5,45,DEF,Defender
83,Aaron,Connolly,0,0,1,45,2,0.3,1.2,32.0,0,-3,3.4,0,0,0,0.5,55,FWD,Forward
84,Steven,Alzate,0,0,2,78,3,24.0,13.4,17.0,0,14,5.4,0,0,0,0.4,45,MID,Midfielder
85,Alexis,Mac Allister,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,55,MID,Midfielder
86,Christian,Walton,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.7,40,GK,Goalkeeper
87,Jason,Steele,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40,GK,Goalkeeper
88,James,Tarkowski,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,6.2,55,DEF,Defender
89,Phil,Bardsley,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,45,DEF,Defender
90,Erik,Pieters,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.4,45,DEF,Defender
91,Jack,Cork,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,Midfielder
92,Kevin,Long,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,DEF,Defender
93,Jay,Rodriguez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,60,FWD,Forward
94,Ashley,Barnes,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,60,FWD,Forward
95,Ben,Mee,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,50,DEF,Defender
96,Ashley,Westwood,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.0,55,MID,Midfielder
97,Johann Berg,Gudmundsson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,55,MID,Midfielder
98,Chris,Wood,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.3,65,FWD,Forward
99,Matthew,Lowton,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,DEF,Defender
100,Matej,Vydra,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.7,50,FWD,Forward
101,Ben,Gibson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,40,DEF,Defender
102,Robbie,Brady,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,MID,Midfielder
103,Nick,Pope,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,17.0,55,GK,Goalkeeper
104,Charlie,Taylor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,5.0,45,DEF,Defender
105,Josh,Brownhill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,Midfielder
106,Bailey,Peacock-Farrell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.5,40,GK,Goalkeeper
107,Dwight,McNeil,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.9,60,MID,Midfielder
108,Jimmy,Dunne,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,40,DEF,Defender
109,Bobby,Thomas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,40,DEF,Defender
110,Willy,Caballero,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,50,GK,Goalkeeper
111,CÃ©sar,Azpilicueta,0,0,1,5,0,0.5,0.4,2.0,0,3,0.3,0,0,0,7.6,60,DEF,Defender
112,Olivier,Giroud,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.3,70,FWD,Forward
113,Marcos,Alonso,0,0,2,90,1,3.7,17.8,2.0,0,14,2.4,0,0,0,3.6,60,DEF,Defender
114,Jorge Luiz,Frello Filho,1,1,12,84,1,23.2,60.8,17.0,2,43,10.1,0,0,0,2.4,50,MID,Midfielder
115,Ross,Barkley,0,0,1,29,0,11.8,4.2,7.0,0,1,2.3,0,0,0,0.3,60,MID,Midfielder
116,Mateo,Kovacic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,55,MID,Midfielder
117,Antonio,RÃ¼diger,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.2,50,DEF,Defender
118,Kurt,Zouma,1,0,8,90,1,0.2,51.8,17.0,0,25,6.9,0,0,0,1.1,50,DEF,Defender
119,Emerson,Palmieri dos Santos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,50,DEF,Defender
120,Kepa,Arrizabalaga,0,0,2,90,1,0.0,10.4,0.0,0,12,1.0,0,0,0,2.3,50,GK,Goalkeeper
121,N'Golo,KantÃ©,0,0,2,90,1,2.8,17.2,4.0,0,19,2.4,0,0,0,4.6,50,MID,Midfielder
122,Hakim,Ziyech,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.9,80,MID,Midfielder
123,Ruben,Loftus-Cheek,0,0,2,60,1,1.3,0.0,0.0,0,2,0.0,0,0,0,0.2,60,MID,Midfielder
124,Andreas,Christensen,0,0,2,90,1,0.7,17.8,2.0,0,14,2.1,0,0,0,0.3,50,DEF,Defender
125,Timo,Werner,0,1,5,90,1,11.7,4.8,79.0,0,10,9.6,0,0,0,47.3,95,FWD,Forward
126,Tammy,Abraham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.4,75,FWD,Forward
127,Christian,Pulisic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,10.7,85,MID,Midfielder
128,Mason,Mount,0,0,2,90,1,28.6,13.6,9.0,0,9,5.1,0,0,0,8.3,70,MID,Midfielder
129,Fikayo,Tomori,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,50,DEF,Defender
130,Callum,Hudson-Odoi,0,0,1,10,0,1.3,0.8,0.0,0,3,0.2,0,0,0,0.5,60,MID,Midfielder
131,Reece,James,1,1,14,90,1,30.3,76.8,11.0,3,44,11.8,0,0,0,6.2,50,DEF,Defender
132,Billy,Gilmour,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,MID,Midfielder
133,Benjamin,Chilwell,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.2,55,DEF,Defender
134,Thiago,Thiago,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.7,55,DEF,Defender
135,Kai,Havertz,0,0,2,79,1,14.8,8.4,0.0,0,8,2.3,0,0,0,12.5,85,MID,Midfielder
136,Michy,Batshuayi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.1,60,FWD,Forward
137,Gary,Cahill,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,DEF,Defender
138,Wayne,Hennessey,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.9,45,GK,Goalkeeper
139,Mamadou,Sakho,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,Defender
140,Vicente,Guaita,0,0,10,90,0,0.0,41.4,0.0,3,31,4.1,1,0,0,2.4,50,GK,Goalkeeper
141,James,Tomkins,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,Defender
142,James,McArthur,0,0,3,90,0,10.4,11.2,6.0,0,14,2.8,1,0,0,0.2,55,MID,Midfielder
143,James,McCarthy,0,0,2,73,0,8.8,0.0,0.0,0,5,0.9,1,0,1,2.6,45,MID,Midfielder
144,Christian,Benteke,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,55,FWD,Forward
145,Cheikhou,KouyatÃ©,0,0,3,90,0,0.3,12.6,17.0,0,3,3.0,1,0,0,0.3,50,MID,Midfielder
146,Joel,Ward,0,0,6,90,0,0.7,13.2,0.0,0,22,1.4,1,0,0,2.0,45,DEF,Defender
147,Martin,Kelly,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.2,45,DEF,Defender
148,Connor,Wickham,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.4,45,FWD,Forward
149,Andros,Townsend,0,1,8,90,0,33.7,28.4,2.0,2,26,6.4,1,0,0,0.7,60,MID,Midfielder
150,Luka,Milivojevic,0,0,1,16,0,28.3,6.0,0.0,0,6,3.4,0,0,0,0.9,60,MID,Midfielder
151,Patrick,van Aanholt,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,55,DEF,Defender
152,Jordan,Ayew,0,0,2,90,0,0.8,9.2,19.0,0,-7,2.9,1,0,0,6.4,60,FWD,Forward
153,Wilfried,Zaha,1,0,8,90,0,1.4,31.6,21.0,0,18,5.4,1,0,0,8.9,70,MID,Midfielder
154,Jeffrey,Schlupp,0,0,2,80,0,0.1,1.2,0.0,0,3,0.1,1,0,1,0.1,55,MID,Midfielder
155,Max,Meyer,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,MID,Midfielder
156,Jairo,Riedewald,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,MID,Midfielder
157,Nathan,Ferguson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.8,40,DEF,Defender
158,Tyrick,Mitchell,0,0,6,90,0,0.7,17.6,0.0,0,23,1.8,1,0,0,15.9,40,DEF,Defender
159,Brandon,Pierrick,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,MID,Midfielder
160,Scott,Dann,0,0,7,90,0,0.4,15.6,8.0,1,24,2.4,1,0,0,1.0,45,DEF,Defender
161,Eberechi,Eze,0,0,1,9,0,8.8,4.4,4.0,0,3,1.7,0,0,0,0.6,60,MID,Midfielder
162,Sam,Woods,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40,DEF,Defender
163,Theo,Walcott,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,60,MID,Midfielder
164,Fabian,Delph,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,MID,Midfielder
165,Gylfi,Sigurdsson,0,0,1,22,0,0.3,2.4,0.0,0,3,0.3,0,0,0,1.6,70,MID,Midfielder
166,Jonas,LÃ¶ssl,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,GK,Goalkeeper
167,Seamus,Coleman,0,0,6,90,0,12.1,24.0,7.0,0,28,4.3,1,0,0,1.2,50,DEF,Defender
168,Cenk,Tosun,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,60,FWD,Forward
169,Bernard,AnÃ­cio Caldeira Duarte,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,60,MID,Midfielder
170,Lucas,Digne,0,1,12,90,0,19.9,40.8,0.0,3,38,6.1,1,0,0,9.2,60,DEF,Defender
171,Michael,Keane,0,0,6,90,0,0.1,25.8,0.0,0,29,2.6,1,0,0,1.9,50,DEF,Defender
172,Jordan,Pickford,0,0,8,90,0,0.0,38.6,0.0,1,32,3.9,1,0,0,6.5,50,GK,Goalkeeper
173,AndrÃ© Filipe,Tavares Gomes,0,0,3,67,0,3.3,3.8,20.0,0,11,2.7,1,0,0,0.4,55,MID,Midfielder
174,Alex,Iwobi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,60,MID,Midfielder
175,Jonjoe,Kenny,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,DEF,Defender
176,Jean-Philippe,Gbamin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50,MID,Midfielder
177,Yerry,Mina,0,0,6,90,0,0.4,23.2,1.0,0,27,2.5,1,0,0,1.2,55,DEF,Defender
178,Tom,Davies,0,0,1,1,0,0.0,2.0,0.0,0,4,0.2,0,0,0,0.1,55,MID,Midfielder
179,Dominic,Calvert-Lewin,1,0,8,88,0,13.7,38.4,34.0,2,34,8.6,1,0,0,8.9,70,FWD,Forward
180,Mason,Holgate,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,DEF,Defender
181,Richarlison,de Andrade,0,0,2,90,0,13.8,26.2,67.0,0,17,10.7,1,0,0,10.3,80,FWD,Forward
182,JoÃ£o,VirgÃ­nia,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,GK,Goalkeeper
183,Anthony,Gordon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,45,MID,Midfielder
184,Moise,Kean,0,0,1,1,0,0.0,0.0,4.0,0,2,0.4,0,0,0,0.5,60,FWD,Forward
185,Jarrad,Branthwaite,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,4.1,40,DEF,Defender
186,Allan,Marques Loureiro,0,0,3,90,0,3.4,18.0,0.0,0,16,2.1,1,0,0,1.7,55,MID,Midfielder
187,James,RodrÃ­guez,0,0,3,90,0,58.6,17.0,23.0,0,16,9.9,1,0,0,9.9,75,MID,Midfielder
188,Abdoulaye,DoucourÃ©,0,0,3,90,0,44.6,20.4,4.0,0,20,6.9,1,0,0,2.6,55,MID,Midfielder
189,Fabricio,Agosto RamÃ­rez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,2.0,40,GK,Goalkeeper
190,Kevin,McDonald,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,MID,Midfielder
191,Maxime,Le Marchand,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,DEF,Defender
192,Stefan,Johansen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,MID,Midfielder
193,Tom,Cairney,0,0,1,90,3,10.2,7.0,0.0,0,11,1.7,0,0,1,0.3,55,MID,Midfielder
194,Tim,Ream,0,0,1,90,3,0.8,16.4,0.0,0,16,1.7,0,0,0,0.2,45,DEF,Defender
195,Anthony,Knockaert,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,55,MID,Midfielder
196,Michael,Hector,0,0,0,90,3,0.6,16.8,0.0,0,12,1.7,0,0,1,0.3,45,DEF,Defender
197,Cyrus,Christie,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,45,DEF,Defender
198,Neeskens,Kebano,0,0,2,62,3,2.7,1.0,18.0,0,7,2.2,0,0,0,0.2,50,MID,Midfielder
199,Bobby,Decordova-Reid,0,0,1,15,0,0.4,0.0,2.0,0,4,0.2,0,0,0,0.1,55,FWD,Forward
200,Joe,Bryan,0,0,1,90,3,4.3,10.6,0.0,0,12,1.5,0,0,0,1.0,50,DEF,Defender
201,Marcus,Bettinelli,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,GK,Goalkeeper
202,Aleksandar,MitroviÄ,0,0,1,27,0,0.3,3.0,7.0,0,3,1.0,0,0,0,22.3,60,FWD,Forward
203,Alfie,Mawson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45,DEF,Defender
204,Marek,RodÃ¡k,0,0,1,90,3,0.0,18.2,0.0,0,11,1.8,0,0,0,0.6,45,GK,Goalkeeper
205,Ivan Ricardo,Neves Abreu Cavaleiro,0,0,2,90,3,26.4,7.4,0.0,0,10,3.4,0,0,0,0.2,55,MID,Midfielder
206,Josh,Onomah,0,0,2,74,3,3.1,8.2,0.0,0,3,1.1,0,0,0,0.2,50,MID,Midfielder
207,Jean MichaÃ«l,Seri,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,50,MID,Midfielder
208,Aboubakar,Kamara,0,0,2,62,3,1.8,0.0,5.0,0,-2,0.2,0,0,0,0.1,50,MID,Midfielder
209,AndrÃ©-Frank,Zambo Anguissa,0,0,1,27,0,11.8,14.4,0.0,0,4,2.6,0,0,0,0.8,45,MID,Midfielder
210,Zeze Steven,Sessegnon,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,DEF,Defender
211,Harrison,Reed,0,0,2,90,3,4.5,12.6,0.0,0,14,1.7,0,0,0,1.2,45,MID,Midfielder
212,Antonee,Robinson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45,DEF,Defender
213,Mario,Lemina,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.2,45,MID,Midfielder
214,Alphonse,Areola,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.4,45,GK,Goalkeeper
